ticker,company,gics_sector,start_date,end_date,delist_note
# ---------------------------------------------------------------------------
# POINT IN TIME S&P 600 + S&P 400 MEMBERSHIP STORE  (schema, read by universe.py)
# ---------------------------------------------------------------------------
# One row per (ticker, membership interval). A ticker that left and re entered
# an index has multiple rows.
#
#   ticker       yfinance normalized symbol (BRK.B -> BRK-B)
#   company      issuer name
#   gics_sector  GICS sector at time of membership (sector neutral grouping key)
#   start_date   first date the name was an index member (YYYY-MM-DD)
#   end_date     last date of membership; BLANK = still a member
#   delist_note  why it left: "delisted", "acquired", "promoted", "relegated",
#                "" if still a member. Names that left via "delisted" are the
#                survivorship cases backtest.py must carry to terminal value
#                (see diagnostics/survivorship_assert.py).
#
# is_member(ticker, date) := any row with start_date <= date <= (end_date or +inf)
#
# The universe is the UNION of the S&P 600 (SmallCap) and the S&P 400 (MidCap),
# so names that graduated out of the 600 up into the 400 are still scored and
# still match in the portfolio overlay.
#
# This file ships EMPTY of real rows. universe.py seeds it from current
# Wikipedia membership (600 + 400) on first run and warns LOUDLY that a current
# only snapshot is survivorship biased. Replace with a true point in time export
# from S&P Global / CRSP for a clean backtest. The two example rows below are
# commented out and exist only to document the format.
GKOS,Glaukos Corp.,Health Care,2026-07-04,,
GNL,"Global Net Lease, Inc.",Real Estate,2026-07-04,,
GNW,"Genworth Financial, Inc.",Financials,2026-07-04,,
GO,Grocery Outlet,Consumer Staples,2026-07-04,,
GOGO,"Gogo, Inc.",Communication Services,2026-07-04,,
GOLF,Acushnet Company,Consumer Discretionary,2026-07-04,,
GPI,"Group 1 Automotive, Inc.",Consumer Discretionary,2026-07-04,,
GRBK,"Green Brick Partners, Inc.",Consumer Discretionary,2026-07-04,,
GSHD,"Goosehead Insurance, Inc.",Financials,2026-07-04,,
GTES,Gates Corporation,Industrials,2026-07-04,,
GTM,ZoomInfo,Communication Services,2026-07-04,,
GTY,Getty Realty Corp.,Real Estate,2026-07-04,,
GVA,"Granite Construction, Inc.",Industrials,2026-07-04,,
HAFC,Hanmi Financial Corporation,Financials,2026-07-04,,
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Financials,2026-07-04,,
HAYW,"Hayward Holdings, Inc.",Industrials,2026-07-04,,
HCC,"Warrior Met Coal, Inc.",Materials,2026-07-04,,
HCI,"HCI Group, Inc.",Financials,2026-07-04,,
HCSG,"Healthcare Services Group, Inc.",Industrials,2026-07-04,,
HE,"Hawaiian Electric Industries, Inc.",Utilities,2026-07-04,,
HFWA,Heritage Financial Corporation,Health Care,2026-07-04,,
HIW,Highwoods Properties,Real Estate,2026-07-04,,
HLIT,Harmonic Inc.,Information Technology,2026-07-04,,
HLX,"Helix Energy Solutions Group, Inc.",Energy,2026-07-04,,
HMN,Horace Mann Educators Corporation,Financials,2026-07-04,,
HNI,HNI Corporation,Industrials,2026-07-04,,
HOPE,"Hope Bancorp, Inc.",Financials,2026-07-04,,
HP,"Helmerich & Payne, Inc.",Energy,2026-07-04,,
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,2026-07-04,,
HSTM,"HealthStream, Inc.",Health Care,2026-07-04,,
HTH,Hilltop Holdings Inc.,Financials,2026-07-04,,
HTLD,"Heartland Express, Inc.",Industrials,2026-07-04,,
HTO,H2O America,Utilities,2026-07-04,,
HTZ,Hertz,Industrials,2026-07-04,,
HUBG,"Hub Group, Inc.",Industrials,2026-07-04,,
HWKN,"Hawkins, Inc.",Materials,2026-07-04,,
HZO,"MarineMax, Inc.",Consumer Discretionary,2026-07-04,,
IART,Integra Lifesciences Holdings,Health Care,2026-07-04,,
IBP,"Installed Building Products, Inc.",Consumer Discretionary,2026-07-04,,
ICHR,"Ichor Holdings, Ltd.",Information Technology,2026-07-04,,
ICUI,ICU Medical,Health Care,2026-07-04,,
IIIN,"Insteel Industries, Inc.",Industrials,2026-07-04,,
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,2026-07-04,,
INDB,Independent Bank Corp.,Financials,2026-07-04,,
INDV,Indivior,Health Care,2026-07-04,,
INSP,"Inspire Medical Systems, Inc.",Health Care,2026-07-04,,
INSW,"International Seaways, Inc.",Energy,2026-07-04,,
INVA,"Innoviva, Inc.",Health Care,2026-07-04,,
INVX,"Innovex International, Inc.",Energy,2026-07-04,,
IOSP,"Innospec, Inc.",Materials,2026-07-04,,
IPAR,"Inter Parfums, Inc.",Consumer Staples,2026-07-04,,
IRDM,Iridium Communications,Communication Services,2026-07-04,,
ITGR,Integer Holdings Corporation,Health Care,2026-07-04,,
ITRI,"Itron, Inc.",Information Technology,2026-07-04,,
JBGS,JBG Smith,Real Estate,2026-07-04,,
JBLU,JetBlue,Industrials,2026-07-04,,
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,2026-07-04,,
JBTM,JBT Marel Corporation,Industrials,2026-07-04,,
JJSF,J&J Snack Foods Corp.,Consumer Staples,2026-07-04,,
JOE,St. Joe Company,Real Estate,2026-07-04,,
JXN,"Jackson Financial, Inc.",Financials,2026-07-04,,
KAI,Kadant Inc.,Industrials,2026-07-04,,
KALU,Kaiser Aluminum Corporation,Materials,2026-07-04,,
OPLN,"OPENLANE, Inc.",Industrials,2026-07-04,,
KFY,Korn/Ferry International,Industrials,2026-07-04,,
KGS,"Kodiak Gas Services, Inc.",Energy,2026-07-04,,
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,2026-07-04,,
KMPR,Kemper Corporation,Financials,2026-07-04,,
KMT,Kennametal,Industrials,2026-07-04,,
KMX,"CarMax, Inc.",Consumer Discretionary,2026-07-04,,
KN,Knowles Corporation,Information Technology,2026-07-04,,
KNTK,"Kinetik Holdings, Inc.",Energy,2026-07-04,,
KOP,"Koppers Holdings, Inc.",Materials,2026-07-04,,
KRYS,"Krystal Biotech, Inc.",Health Care,2026-07-04,,
KSS,Kohl's Corp.,Consumer Discretionary,2026-07-04,,
KTB,Kontoor Brands,Consumer Discretionary,2026-07-04,,
KWR,Quaker Chemical Corporation,Materials,2026-07-04,,
LAUR,"Laureate Education, Inc.",Consumer Discretionary,2026-07-04,,
LBRT,"Liberty Energy, Inc.",Energy,2026-07-04,,
LCII,LCI Industries,Consumer Discretionary,2026-07-04,,
LEG,Leggett & Platt,Consumer Discretionary,2026-07-04,,
LFST,Lifestance Health,Health Care,2026-07-04,,
LGIH,LGI Homes,Consumer Discretionary,2026-07-04,,
LIF,Life360,Information Technology,2026-07-04,,
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,2026-07-04,,
LKFN,Lakeland Financial,Financials,2026-07-04,,
LKQ,LKQ Corporation,Consumer Discretionary,2026-07-04,,
LMAT,LeMaitre Vascular,Health Care,2026-07-04,,
LNC,Lincoln Financial,Financials,2026-07-04,,
LNN,Lindsay Corporation,Materials,2026-07-04,,
LPG,Dorian LPG Ltd.,Energy,2026-07-04,,
LQDT,"Liquidity Services, Inc.",Industrials,2026-07-04,,
LRN,"Stride, Inc.",Consumer Discretionary,2026-07-04,,
LTC,"LTC Properties, Inc.",Real Estate,2026-07-04,,
LTH,"Life Time Group Holdings, Inc.",Consumer Discretionary,2026-07-04,,
LUMN,Lumen Technologies,Communication Services,2026-07-04,,
LW,Lamb Weston,Consumer Staples,2026-07-04,,
LXP,Lexington Realty Trust,Real Estate,2026-07-04,,
LYFT,"Lyft, Inc.",Industrials,2026-07-04,,
LZ,"LegalZoom.com, Inc.",Industrials,2026-07-04,,
LZB,"La-Z-Boy, Inc.",Consumer Discretionary,2026-07-04,,
MAC,Macerich,Real Estate,2026-07-04,,
MAN,ManpowerGroup,Industrials,2026-07-04,,
MARA,"MARA Holdings, Inc.",Information Technology,2026-07-04,,
MATW,Matthews International Corporation,Consumer Discretionary,2026-07-04,,
MATX,"Matson, Inc.",Industrials,2026-07-04,,
MBC,"MasterBrand, Inc.",Industrials,2026-07-04,,
MBIN,Merchants Bancorp,Financials,2026-07-04,,
MC,Moelis & Company,Financials,2026-07-04,,
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,2026-07-04,,
MCY,Mercury General,Financials,2026-07-04,,
MD,Pediatrix Medical Group,Health Care,2026-07-04,,
MDU,"MDU Resources Group, Inc.",Utilities,2026-07-04,,
MGEE,"MGE Energy, Inc.",Utilities,2026-07-04,,
MGY,"Magnolia Oil & Gas, Corp.",Energy,2026-07-04,,
MHK,Mohawk Industries,Consumer Discretionary,2026-07-04,,
MHO,"M/I Homes, Inc.",Consumer Discretionary,2026-07-04,,
MIR,"Mirion Technologies, Inc.",Information Technology,2026-07-04,,
MKTX,MarketAxess,Financials,2026-07-04,,
MLKN,"MillerKnoll, Inc.",Industrials,2026-07-04,,
MMI,"Marcus & Millichap, Inc.",Real Estate,2026-07-04,,
MMSI,"Merit Medical Systems, Inc.",Health Care,2026-07-04,,
MNRO,"Monro, Inc.",Consumer Discretionary,2026-07-04,,
MOH,Molina Healthcare,Health Care,2026-07-04,,
MPT,Medical Properties Trust,Real Estate,2026-07-04,,
MRCY,Mercury Systems,Industrials,2026-07-04,,
MRP,"Millrose Properties, Inc.",Real Estate,2026-07-04,,
MRTN,"Marten Transport, Ltd.",Industrials,2026-07-04,,
